dir_label,dir_deg,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,total
N,0,7,9,12,4,6,3,2,4,17,3,11,3,81
NNE,22.5,2,7,7,2,4,7,0,5,21,3,10,4,72
NE,45,20,30,39,14,32,13,8,10,48,20,22,18,274
ENE,67.5,50,42,56,21,28,12,25,15,41,22,43,32,387
E,90,57,224,182,49,94,62,180,35,133,206,218,61,1501
ESE,112.5,20,71,65,32,66,76,86,16,67,59,113,32,703
SE,135,17,81,40,38,47,72,42,21,46,48,72,27,551
SSE,157.5,14,20,25,18,22,29,29,8,42,14,21,15,257
S,180,123,26,44,48,91,59,38,106,74,20,31,17,677
SSW,202.5,138,26,58,48,31,43,28,25,48,33,19,13,510
SW,225,420,198,271,305,283,271,99,185,277,288,122,197,2916
WSW,247.5,342,272,426,543,515,505,221,549,351,399,381,545,5049
W,270,127,111,162,247,233,223,134,410,204,320,279,490,2940
WNW,292.5,30,36,52,27,24,24,24,71,39,23,60,20,430
NW,315,3,11,12,10,4,9,7,11,11,8,13,10,109
NNW,337.5,4,15,14,6,3,4,3,13,18,6,6,3,95
BLANK,,103,303,1,69,0,72,553,0,48,16,52,0,1217
